brand,original_price,current_price
"MICROSOFT Surface Pro 12"" with Type Cover Core 8 Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home...","₹60,990","₹1,03,822"
HP 14 AI PC Intel Core Ultra 7 - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Laptop,"₹33,999","₹80,990"
Lenovo Yoga Slim 7 WUXGA OLED AI PC with 1Yr ADP Intel Core Ultra 7 155H - (32 GB/1 TB SSD/Windows 11 ...,"₹44,999","₹1,00,990"
Acer TravelLite AMD Ryzen 5 7430U - (16 GB/512 GB SSD/Windows 11 Home) TL04-41M Notebook,"₹1,18,498","₹48,990"
Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB...,"₹1,15,898","₹21,990"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹32,990","₹40,500"
"MICROSOFT Surface Pro 12"" with Type Cover & Pen Core 8 Snapdragon X Plus - (16 GB/256 GB SSD/Windows 1...","₹49,990","₹1,11,102"
"MICROSOFT Surface Pro 12"" with Pen Core 8 Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) EP2-2...","₹1,04,990","₹1,10,902"
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹1,04,990","₹29,990"
HP 15 G10 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 15 G10 Thin and Light ...,"₹1,01,613","₹43,990"
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹95,999","₹59,990"
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹96,990","₹59,990"
DELL Inspiron with Backlit Keyboard and Fingerprint Sensor Intel Core Ultra 5 125H - (16 GB/512 GB SSD...,"₹76,990","₹79,490"
HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) 14-ep1151TU/14-gr1036TU/14-ep...,"₹3,89,990","₹74,768"
HP EliteBook 845 G11 AMD Ryzen 5 8540U - (16 GB/512 GB SSD/Windows 11 Pro) EliteBook 845 G11 Business ...,"₹1,76,990","₹61,149"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a...,"₹73,990","₹58,990"
ASUS ExpertBook Ultra Copilot+ PC Intel Core Ultra X7 358H - (64 GB/2 TB SSD/Windows 11 Home) B9406CAA...,"₹55,990","₹3,49,990"
ASUS ExpertBook P3 Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 Home) P3406CCAP-LY1005WS Lap...,"₹1,19,498","₹88,990"
ASUS Vivobook (i5 14th Gen) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) X1504VAP-BQ1542WS T...,"₹85,991","₹51,990"
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Li...,"₹1,10,990","₹44,990"
"MICROSOFT Surface Pro 12"" with Type Cover Core 8 Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home...","₹62,526","₹1,03,822"
HP 14 AI PC Intel Core Ultra 7 - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Laptop,"₹75,990","₹80,990"
"ASUS Vivobook S14 (2025) with Backlit Keyboard, Metallic Design*, Intel Core Ultra 7 255H - (16 GB/512...","₹1,25,890","₹87,990"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,"₹1,09,999","₹56,990"
HP Essentials Intel Core i5 13th Gen 1334U - (8 GB/1 TB SSD/Windows 11 Home) 15-FD0549TU Thin and Ligh...,"₹1,92,990","₹65,890"
Lenovo IdeaPad Slim 5 Co-Pilot Next Gen AI PC Full Metal with 1Yr ADP Snapdragon X Plus - (16 GB/1 TB ...,"₹78,590","₹1,05,000"
"MICROSOFT Surface Laptop 13"" Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) EP2-31940 Laptop","₹86,990","₹1,08,990"
ASUS ExpertBook P3 Intel Core Ultra 7 255H - (16 GB/512 GB SSD/Windows 11 Home) P3606CCAP-MB1007WS Thi...,"₹1,18,498","₹1,03,990"
Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH...,"₹1,15,898","₹61,999"
ASUS TUF Gaming A15 AMD Ryzen 7 Hexa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹46,990","₹64,990"
"MICROSOFT Surface Pro 12"" with Type Cover & Pen Core 8 Snapdragon X Plus - (16 GB/256 GB SSD/Windows 1...","₹48,990","₹1,11,102"
"MICROSOFT Surface Pro 12"" with Pen Core 8 Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) EP2-2...","₹35,990","₹1,10,902"
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0500AU / 15-fc0154AU...,"₹90,747","₹44,980"
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB ...","₹1,04,990","₹40,990"
Ultimus APEX BOLD N Intel Pentium Quad Core N4200 - (8 GB/256 GB SSD/Windows 11 Home) NU14U9INC54LS-CS...,"₹1,04,990","₹21,990"
DELL 15 AI Powered Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Lapt...,"₹65,387","₹79,990"
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹54,990","₹59,990"
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 ...,"₹3,89,990","₹59,990"
HP AMD Ryzen 7 Octa Core - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0761AU Laptop,"₹1,76,990","₹60,990"
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹78,860","₹46,990"
ASUS ExpertBook Ultra Copilot+ PC Intel Core Ultra X7 358H - (64 GB/2 TB SSD/Windows 11 Home) B9406CAA...,"₹89,890","₹3,49,990"
ASUS ExpertBook P3 Intel Core Ultra 5 225H - (16 GB/512 GB SSD/Windows 11 Home) P3406CCAP-LY1005WS Lap...,"₹99,999","₹88,990"
DELL 15 AI Powered Intel Core Ultra 5 225H - (8 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Lapto...,"₹69,990","₹72,490"
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹1,19,498","₹65,990"
Acer Aspire 7 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,"₹85,991","₹72,990"
DELL Inspiron 3530 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin...,"₹68,999","₹59,990"
"MICROSOFT Surface Pro 12"" with Type Cover Core 8 Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home...","₹80,990","₹1,03,822"
HP 14 AI PC Intel Core Ultra 7 - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Laptop,"₹1,09,999","₹80,990"
